name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Strings Of Life*Derrick May,0.714,0.873,2,-6.223,1,0.0658,0.152,0.868,0.0848,0.516,128.103,audio_features,7DXfJX286N3ZBURaq8D9mc,spotify:track:7DXfJX286N3ZBURaq8D9mc,https://api.spotify.com/v1/tracks/7DXfJX286N3ZBURaq8D9mc,https://api.spotify.com/v1/audio-analysis/7DXfJX286N3ZBURaq8D9mc,362947,4
Jupiter Jazz*Galaxy 2 Galaxy,0.645,0.877,7,-10.616,1,0.0456,0.00657,0.858,0.127,0.473,124.697,audio_features,2T6rMXWYc934IWMudx1H1X,spotify:track:2T6rMXWYc934IWMudx1H1X,https://api.spotify.com/v1/tracks/2T6rMXWYc934IWMudx1H1X,https://api.spotify.com/v1/audio-analysis/2T6rMXWYc934IWMudx1H1X,270747,4
Amazon*Galaxy 2 Galaxy,0.517,0.73,2,-13.215,1,0.071,0.00047,0.711,0.131,0.395,133.21,audio_features,6CkLFR9wcDaRjyhxdTydBg,spotify:track:6CkLFR9wcDaRjyhxdTydBg,https://api.spotify.com/v1/tracks/6CkLFR9wcDaRjyhxdTydBg,https://api.spotify.com/v1/audio-analysis/6CkLFR9wcDaRjyhxdTydBg,276920,4
Riod*Juan Atkins,0.815,0.396,1,-16.94,1,0.176,0.215,0.884,0.108,0.28,128.046,audio_features,4DpgPdsES4Hxdz3eqOP3Ac,spotify:track:4DpgPdsES4Hxdz3eqOP3Ac,https://api.spotify.com/v1/tracks/4DpgPdsES4Hxdz3eqOP3Ac,https://api.spotify.com/v1/audio-analysis/4DpgPdsES4Hxdz3eqOP3Ac,554692,4
Lightyears*Juan Atkins,0.802,0.327,6,-19.409,0,0.0943,0.078,0.914,0.103,0.507,128.022,audio_features,4SFEzGRviQqJpZHtQjDAA5,spotify:track:4SFEzGRviQqJpZHtQjDAA5,https://api.spotify.com/v1/tracks/4SFEzGRviQqJpZHtQjDAA5,https://api.spotify.com/v1/audio-analysis/4SFEzGRviQqJpZHtQjDAA5,367500,4
Altitude (Mayday Mix)*System 7,0.694,0.578,8,-11.106,0,0.0438,0.0156,0.834,0.129,0.29,128.044,audio_features,3BuGppS6EPjPOxuYZ9tvnW,spotify:track:3BuGppS6EPjPOxuYZ9tvnW,https://api.spotify.com/v1/tracks/3BuGppS6EPjPOxuYZ9tvnW,https://api.spotify.com/v1/audio-analysis/3BuGppS6EPjPOxuYZ9tvnW,461119,4
Tedra*Kenny Larkin,0.466,0.558,6,-15.972,1,0.0464,0.00765,0.728,0.101,0.0357,109.986,audio_features,6Au8dwqW17E3rykzOtXzqn,spotify:track:6Au8dwqW17E3rykzOtXzqn,https://api.spotify.com/v1/tracks/6Au8dwqW17E3rykzOtXzqn,https://api.spotify.com/v1/audio-analysis/6Au8dwqW17E3rykzOtXzqn,341107,4
At Les*Carl Craig,0.565,0.451,1,-14.188,1,0.0833,0.112,0.895,0.118,0.217,130.034,audio_features,4LpSsKYVYP9kexF6xdte0Y,spotify:track:4LpSsKYVYP9kexF6xdte0Y,https://api.spotify.com/v1/tracks/4LpSsKYVYP9kexF6xdte0Y,https://api.spotify.com/v1/audio-analysis/4LpSsKYVYP9kexF6xdte0Y,369053,4
Microlovr*69,0.654,0.717,0,-12.9,0,0.0726,0.0309,0.939,0.095,0.159,124.935,audio_features,0v2RtEQMs7Hd6LLTYIBcUQ,spotify:track:0v2RtEQMs7Hd6LLTYIBcUQ,https://api.spotify.com/v1/tracks/0v2RtEQMs7Hd6LLTYIBcUQ,https://api.spotify.com/v1/audio-analysis/0v2RtEQMs7Hd6LLTYIBcUQ,509911,4
Desire*69,0.622,0.814,10,-9.977,0,0.0633,0.00287,0.933,0.13,0.216,117.026,audio_features,7MOAV2tGD8biBA1uK7dTqg,spotify:track:7MOAV2tGD8biBA1uK7dTqg,https://api.spotify.com/v1/tracks/7MOAV2tGD8biBA1uK7dTqg,https://api.spotify.com/v1/audio-analysis/7MOAV2tGD8biBA1uK7dTqg,387371,4
